short-name,common-name
SPD Smith,Steven Smith
MS Wade,Matthew Wade
MR Marsh,Mitchell Marsh
A Nortje,Anrich Nortje
Navdeep Saini,Navdeep Saini
Al-Amin Hossain,Al-Amin Hossain
Aminul Islam,Aminul Islam
Afif Hossain,Afif Hossain
S Dube,Shivam Dube
Mohammad Naim,Mohammad Naim
Mohammad Mithun,Mohammad Mithun
BA King,Brandon King
HR Walsh,Hayden Walsh
SM Curran,Sam Curran
PR Brown,Patrick Brown
S Mahmood,Saqib Mahmood
L Gregory,Lewis Gregory
MW Parkinson,Matt Parkinson
T Banton,Tom Banton
HK Bennett,Hamish Bennett
SV Samson,Sanju Samson
RD Chahar,Rahul Chahar
JC Archer,Jofra Archer
JR Hazlewood,Josh Hazlewood
SA Abbott,Sean Abbott
T Natarajan,Natarajan ST
DR Sams,Daniel Sams
KA Jamieson,Kyle Jamieson
DP Conway,Devon Conway
KR Mayers,Kyle Mayers
JR Philippe,Joshua Philippe
RP Meredith,Riley Meredith
Nasum Ahmed,Nasum Ahmed
FH Allen,Finn Allen
Shoriful Islam,Shoriful Islam
WA Young,Will Young
Mahedi Hasan,Mahedi Hasan
Nazmul Hossain Shanto,Nazmul Hossain Shanto
TD Astle,Todd Astle
GF Linde,George Linde
L Sipamla,Lutho Sipamla
Ishan Kishan,Ishan Kishan
SA Yadav,Suryakumar Yadav
AJ Hosein,Akeal Hosein
R Shepherd,Romario Shepherd
OF Smith,Odean Smith
RJW Topley,Reece Topley
GHS Garton,George Garton
PD Salt,Philip Salt
HC Brook,Harry Brook
DC Drakes,Dominic Drakes
K Sinclair,Kevin Sinclair
AK Markram,Aiden Markram
FH Edwards,Fidel Edwards
PWA Mulder,Wiaan Mulder
Shamim Hossain,Shamim Hossain
NT Ellis,Nathan Ellis
R Ravindra,Rachin Ravindra
CE McConchie,Cole McConchie
AY Patel,Ansh Patel
JA Duffy,Jacob Duffy
BV Sears,Ben Sears
KA Maharaj,Keshav Maharaj
CR Woakes,Chris Woakes
R Rampaul,Ravi Rampaul
RL Chase,Roston Chase
CV Varun,Varun Chakaravarthy
DJ Hooda,Deepak Hooda
HV Patel,Harshal Patel
Arshdeep Singh,Arshdeep Singh
RJ Gleeson,Richard Gleeson
Avesh Khan,Avesh Khan
Umran Malik,Umran Malik
Ravi Bishnoi,Ravi Bishnoi
T Stubbs,Tristan Stubbs
RR Rossouw,Rilee Rossouw
VR Iyer,Venkatesh Iyer
RD Gaikwad,Ruturaj Gaikwad
M Jansen,Marco Jansen
TH David,Tim David
Hasan Mahmud,Hasan Mahmud
Yasir Ali Chowdhury,Yasir Ali Chowdhury
Munim Shahriar,Munim Shahriar
Anamul Haque,Anamul Haque
SSJ Brooks,Shamarh Brooks
C Green,Chris Green
RA Reifer,Raymon Reifer
AS Joseph,Alzarri Joseph
Y Cariah,Yannic Cariah
DC Thomas,Devon Thomas
